,Unnamed: 0,review_id,user_id,business_id,stars_x,useful,funny,cool,text,date,name,address,city,state,postal_code,latitude,longitude,stars_y,review_count,is_open,attributes,categories,hours
21664,2362866,Y6RcIPMaq09AhEYtuRbgCw,_i3uTqtUfyVZDryKzUGGiw,fN12ywQpLXQ93bpwe1N_Ww,4,0,0,0,"""I like coal."" 
Milt Romney, 2012 Presidential debate.

For once we agree. 

Excellent pie, lackadaisical bartender.",2015-06-02 03:14:47,Pietro's Coal Oven Pizzeria,1714 Walnut St,Philadelphia,PA,19103,39.9497512,-75.1699969,3.5,751.0,1.0,"{'BYOBCorkage': ""'yes_free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'Corkage': 'False', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'Alcohol': ""'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'DogsAllowed': 'False', 'Caters': 'True', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Breakfast & Brunch, Italian, Restaurants, Pizza","{'Monday': '12:0-19:30', 'Tuesday': '12:0-19:30', 'Wednesday': '12:0-19:30', 'Thursday': '12:0-19:30', 'Friday': '12:0-20:30', 'Saturday': '12:0-20:30', 'Sunday': '12:0-19:30'}"
30463,3481623,e_VJD92YEX0vZq5FSXDrhg,030xaqW2akhXYFdmOTmEng,DZglT5FP5VNDQJU3PuRIHw,4,3,0,5,"La Calaca Feliz has a reputation as one of the better Mexican establishments in Philadelphia, and I was eager to dine here after staring at my Yelp bookmark for months. I finally came last weekend for dinner with a friend and immediately noticed a festive vibe walking in. There is a bar to your left as you step through a narrow path to the back where the restaurant opens up for full table seating. Behind the bar as you walk up a half flight of steps, you get a full view of the open kitchen on your left (I'm a big fan of open kitchen models).

Since the weather was pleasant, my buddy and I opted to sit outside on the back patio, where there are maybe 10 tables. By the time we left, all of them were full.

We both ordered a Mexican Old Fashioned cocktail to start (made with Mexican bitters). Good stuff. I later had a margarita on the rocks which was decent, but not spectacular.

We shared an order of (slightly spicy) guacamole and then I ordered the flank steak entree, served with creamed spinach with bone marrow and chimichurri. Excellent. Our sever even brought corn tortillas and white rice so that I could construct a couple of fajitas.

I left feeling quite comatose, as is not uncommon with Mexican food!",2016-07-13 02:49:30,La Calaca Feliz,2321 Fairmount Ave,Philadelphia,PA,19130,39.967534,-75.1760734,4.0,681.0,1.0,"{'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'None', 'GoodForDancing': 'False', 'CoatCheck': 'False', 'HappyHour': 'True', 'ByAppointmentOnly': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Smoking': ""u'no'"", 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': False, u'validated': False}"", 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}""}","Cocktail Bars, Restaurants, Mexican, Bars, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '15:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-20:0'}"
47772,5882957,RN2o2jo3oVh2Hhaef8pZmw,B9iPTih0dmpZn6fRyZnLLg,sy7ADvpBA7SfHwbY-Y_5gw,1,3,2,0,"Yelp is usually pretty good with the reviews so I was expecting a four star meal. So why the one star you ask?

We ate lunch there last Saturday. The restaurant was almost empty save for two other couples. We were greeted and seated immediately. Once I looked at the menu, I realized that it was not the same one as is posted online. This is the second time this has happened. How is it that some restaurants can list daily specials online and Valanni can't keep their regular menu up to date?

Our seeimingly bored waiter took our orders and then spent must of his time hunched over the bar checking messages or texting someone on his phone. 

After our food arrived he returned and announced that he would check up on us in a few minutes to see how are meals were. Good thing he never got around to it. Our kobe beef burger, ordered medium rare, was cooked well beyond well done and my grilled cheese panini was so overdone that the black marks from the grill were indistinguishable from the rest of the bread. Blackened grilled cheese anyone? At least the french fries weren't overdone but were salty as hell. Maybe the cook was too busy texting our waiter?

After we finished eating what we ate of our meals, a clumsy bus boy appears. While clearing a few plates he almost dropped one of them so he decided to make two trips. Didn't help because on the second visit he dumped a french fry on my jacket on the seat next to me and didn't apologize or bother to pick it up off the floor where it wound up. 

Then the waiter reappears. I guess his texting or whatever was done. He presented us with the check. Never asked us how our meal was or if we wanted dessert (charred oreo beignets anyone?).",2012-11-19 13:45:59,Valanni,1229 Spruce St,Philadelphia,PA,19107,39.9467941,-75.1622221,4.0,875.0,0.0,"{'BikeParking': 'False', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'BYOBCorkage': ""'no'"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Alcohol': ""'full_bar'"", 'NoiseLevel': ""u'average'"", 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","American (New), Nightlife, Greek, Cocktail Bars, Bars, Mediterranean, Restaurants, Pizza, Tapas Bars, Latin American, Tapas/Small Plates, Lounges","{'Monday': '16:30-0:0', 'Tuesday': '16:30-0:0', 'Wednesday': '16:30-0:0', 'Thursday': '16:30-0:0', 'Friday': '16:30-2:0', 'Saturday': '16:30-2:0', 'Sunday': '10:0-0:0'}"
5680,584055,0bPxUugeaU5k9ITqr7YXvw,QleicUERSrGL8fibf7Mp2A,jULIPydhMj18KOI5OHTwfA,4,3,0,10,"Buena Onda has some tacos deliciosos.  You'll find a variety of tacos, all equally delicious and well balanced.  The guac was not bad but the quesadillas took the queso (cheese) portion of the name a little too literally and were a bit too cheesy and thus bland.  The line can be a bit long but it goes quick and the beer samples actually make waiting in line an almost enjoyable experience.",2016-10-03 01:58:14,Buena Onda,1901 Callowhill St,Philadelphia,PA,19130,39.9609147337,-75.1708267829,4.0,552.0,1.0,"{'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'DriveThru': 'False', 'BikeParking': 'True', 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': None, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'True'}","Tacos, Restaurants, Mexican","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
51565,6457235,W8_ca3RpFJqRN9-vzyvBcg,5G2IF0VIN3Brl-m45QDXsA,GoYSJ-YY-YwbxdgasHuq-Q,5,1,0,0,"As I write this and reflect back on my two previous reviews from 2012, I have to tip my hat at the upward performance of Mixto and the impression it has left on me between then and now!  I left the neighborhood for Rittenhouse for a couple of years and have just recently returned to my old Washington Square West stomping grounds.  I couldn't be happier to now call this place one of my top neighborhood go-to's!  

The staff is so friendly and always remember my familiar face; the servers are always quick to honor my recommendations request (and they answer HONESTLY without mentally adding up the tip amount by suggesting the priciest items); and while both the downstairs and upstairs bars are a great social scene, the downstairs square bar layout is designed in such a way that it's easy becoming fast friends with the crowd around you while taking in a sports game and sipping Margaritas.  

While Mixto is far from a ""hidden gem"" and overall a well known Philadelphia eatery, the amount of seating available is vast, therefore leaving it a safe bet to snag a spot quickly for Sunday brunch or an impromptu Saturday night date.  While you might not be able to locate a table, there's always room at the bar, which is set up to make eating a meal there less of a last resort and more of a preference.  

As far as outdoor dining goes, while there are only a handful of sidewalk seats, this place opens up their floor to ceiling windows in the warmer months, making the downstairs seating feel as close to an outside eating experience as it can get while staying inside.  

And now, for the finale slash best kept secret, drum roll please...

While recently dining here with a friend from Spain, I was introduced to the beef empanadas.  They are hand made daily and, according to him, the best he's ever had outside of Spain itself.  You can order them in twos, along with the chicken empanadas, and they serve as an amazing beginner dish to get the taste buds talking.  I have become accustomed to fulfilling my addiction for them by calling for takeout on my way home from work. They may just be one of the most reasonably priced ways to treat yo'self on the run.  I encourage you to partake!  

Keep up the good work, Mixto.  You're one of my favorite things about choosing Wash Sq. West as my little corner of the world.",2016-06-16 18:52:45,Mixto,1141 Pine St,Philadelphia,PA,19107,39.945195,-75.161082,4.0,1246.0,1.0,"{'HasTV': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'BYOBCorkage': ""'no'"", 'RestaurantsAttire': ""'casual'"", 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'False', 'RestaurantsTableService': 'True', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'HappyHour': 'True', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False'}","Latin American, Argentine, Restaurants, Breakfast & Brunch, Italian, Cuban, Caribbean","{'Monday': '0:0-0:0', 'Tuesday': '16:0-22:0', 'Wednesday': '11:0-17:0', 'Thursday': '16:0-21:30', 'Friday': '16:0-21:45', 'Saturday': '10:0-21:45', 'Sunday': '10:0-21:0'}"
51905,6483796,D4yD8VxSeP552IiTPXpYHw,RjddvgG3oYsY5HnULoLZ8w,K7KHmHzxNwzqiijSJeKe_A,3,1,0,0,"I can't write a Yelp review of a brunch place without comparing it to similar places. Unfortunately, Cafe La Maude doesn't measure up to similar nearby restaurants. I had high hopes because I've heard people talking about this place and the Yelp reviews were great. I've been here a couple times and I have been underwhelmed on both visits. The first time I visited, 3 of us came on a Friday morning for brunch and had to wait around 20-30 minutes, which was particularly annoying because there were a few tables that had not been cleaned after guests had left.

They had both inside and outside seating. A table outside opened up first, so that's where we chose to sit. Outside seating is on a slanted sidewalk, which was very uncomfortable. During my second visit I sat inside, which felt tight and small, but it felt a lot nicer than sitting on a tilted, wobbly table. 

Because of the wait, I had plenty of time to look at the menu and read reviews. What surprised me was the prices, as this place is notably more expensive than similar restaurants. 
As per Yelp, I got the Parisian Za. The second time I got chicken and waffles. The food was good, but not worth the wait, nor the price, nor the uncomfortable outside seating. Overall, it just didn't live up to my expectations.",2018-03-01 14:54:05,Cafe La Maude,816 N 4th St,Philadelphia,PA,19123,39.963948,-75.144364,4.5,1485.0,1.0,"{'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'False', 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'ByAppointmentOnly': 'False', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'False', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Caters': 'False', 'BikeParking': 'False', 'BYOB': 'True', 'DogsAllowed': 'True', 'RestaurantsTableService': 'True', 'Corkage': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Sandwiches, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Mediterranean, American (New)","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '9:0-16:0', 'Sunday': '8:0-16:0'}"
38975,4735706,zhUjv4841piVxLhs7RGvqA,xh3a5vuXjT21KCpPzgJQ4w,Jg9kkOl4sx2AXJVohbpSiw,4,1,0,2,"I was craving tacos so much especially since I'm from the West Coast. I know my tacos. namsang? After watching Ugly Delicious, I was like okay. Let me give this place a try. The restaurant is pretty small. It's packed, you will touch other people. So if you're claustrophobic, good luck! 

You stand in line towards the front to order your tacos. You eat first then pay. CASH ONLY. I believe I ordered two pork tacos and a lamb taco. The pork tacos were just okay because they felt a little under seasoned, but the lamb was amazing. I had never had lamb taco before and it was so just so delicious, juicy, tender, and delicate and packed full of flavor. In terms of price, the tacos are on the pricier side of what I am used to. I'm used to paying less than $1.50 per street taco. However, given what they stand for and given these are probably the best tacos you will get in Philly, it might be worth it!",2018-10-22 16:52:27,South Philly Barbacoa,1140 S 9th St,Philadelphia,PA,19147,39.935354,-75.158801,4.5,593.0,1.0,"{'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'WheelchairAccessible': 'False', 'HappyHour': 'False', 'WiFi': ""'no'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'None', 'HasTV': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'DriveThru': 'None', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True'}","Barbeque, Coffee & Tea, Mexican, Cannabis Clinics, Event Planning & Services, Personal Chefs, Restaurants, Juice Bars & Smoothies, Food, Health & Medical","{'Saturday': '5:0-15:0', 'Sunday': '5:0-15:0'}"
37344,4476632,dMl3_lUqfzqWsxlMmQCfAw,RdJ7Ykelg8w4y5FTmxjT8g,RnhLCG4N9MPy6ZRzq787Cg,4,2,0,1,"I've been here for City Sips and such before, last summer, and I haven't made it back this summer.  I liked the place.  It's cool inside, the drinks and beer selection were good, the appetizers were so-so.  I liked the openness of the place, especially if you sit upstairs.  However, it's actually pretty cramped inside b/c there aren't all that many seats (esp. upstairs).  And it was pretty hot in there.  The A/C and ceiling fans weren't cutting in.  All in all, though, this wasn't a bad place to grab a drink.",2007-08-17 00:53:03,Devil's Alley Bar & Grille,1907 Chestnut St,Philadelphia,PA,19103,39.95214,-75.1722162,3.5,825.0,1.0,"{'Corkage': 'False', 'GoodForKids': 'False', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'Alcohol': ""'full_bar'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForDancing': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}""}","Local Flavor, Nightlife, Bars, American (New), Restaurants, Breakfast & Brunch, Sports Bars, Pubs","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-0:0'}"
39086,4762023,iDOrSmKsvHVwzMlMV0D8gA,ppsm8EDKjA1fp1yTCP3RrQ,FD7gMovIYQmhdn23Iq91zQ,4,3,0,1,"I'm a veteran of Lorenzo's from way back when I used to hang out on South Street more regularly in my youth.  I'm talking 18 years ago here.  I've made various pilgrimages here over the years since.  

I hadn't been back in many years, and certainly hadn't been back since the fire and the reopening.  Today was my first time setting foot in here in years.  It looks impressive inside now, although it doesn't have the character it used to have.  

Now, I had to confirm this by looking at pictures here from several years ago.  The slice I got today was bigger than I even remember it being,  From the looks of the pictures here several years back, and the ones I got today, I think they're definitely bigger.  

Taste wise, Lorenzo's has always been pretty basic, which is to say pretty good.  They don't try to do anything fancy.  They just give you a nice big slice that tastes good.  

I've had better pizza in Philly before, but $3 for the slice this big is the best value in the city I've seen.  If there is one better, let me know.  

I'm still a Lorenzo's fan.  I always will be.",2013-09-02 23:29:18,Lorenzo & Sons Pizza,305 S St,Philadelphia,PA,19147,39.941596,-75.1478101,4.0,657.0,1.0,"{'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'Caters': 'False', 'WiFi': ""u'no'"", 'Alcohol': ""'none'"", 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BYOBCorkage': ""'no'"", 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'RestaurantsTableService': 'False', 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': None, 'dinner': None, 'brunch': False, 'breakfast': False}""}","Pizza, Italian, Restaurants","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-4:0', 'Saturday': '11:0-4:0', 'Sunday': '11:0-3:0'}"
54717,6766341,4poAs6k3EZabf_YyVgndPQ,z02XKjGqJMONH59_lUHlTQ,jkGQQ4_LgJx3hwPtCFkzbQ,4,1,0,1,"When Max Brenner first opened, I went there with a coworker, but I was not impressed with the menu, nor what I ordered. The only thing that I liked at the time was the chocolatey smell of the place.

Fast forward a few years later, my coworkers and I decided to go for lunch. I was very reluctant, given my past experience. To my surprise, the menu had been drastically updated. 

I ordered the grilled chicken panini, which came with goat cheese and spinach. It was very delicious. I believe the bread was ciabatta, which I am a huge fan of. 

I can't see myself eating here on a regular basis considering the price. $14 for a small panini and five waffle fries isn't completely practical.",2011-07-16 01:12:15,Max Brenner - Philadelphia,1500 Walnut St,Philadelphia,PA,19102,39.9491000076,-75.1661748827,3.5,1358.0,1.0,"{'NoiseLevel': ""u'average'"", 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'False', 'WiFi': ""'free'"", 'Caters': 'False', 'WheelchairAccessible': 'True', 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'RestaurantsDelivery': 'False', 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}","American (Traditional), Restaurants, Desserts, Food, Chocolatiers & Shops, American (New), Specialty Food, Breakfast & Brunch","{'Monday': '0:0-0:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '14:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-21:0'}"
